area	lon_wmc	lat_wmc	area_ext_coord	indx	indy
A000	-4.859375	35.421875	[(-5.5, 34.95561636), (-4.808333333333334, 34.95561636), (-4.808333333333334, 35.47957373333333), (-5.5, 35.47957373333333), (-5.5, 34.95561636)]	0	9
A001	-5.077724	35.798077	[(-5.5, 35.47957373333333), (-4.808333333333334, 35.47957373333333), (-4.808333333333334, 36.003531106666664), (-5.5, 36.003531106666664), (-5.5, 35.47957373333333)]	0	10
A002	-5.052254	36.230533	[(-5.5, 36.003531106666664), (-4.808333333333334, 36.003531106666664), (-4.808333333333334, 36.52748848), (-5.5, 36.52748848), (-5.5, 36.003531106666664)]	0	11
A003	-4.427734	35.376953	[(-4.808333333333334, 34.95561636), (-4.116666666666667, 34.95561636), (-4.116666666666667, 35.47957373333333), (-4.808333333333334, 35.47957373333333), (-4.808333333333334, 34.95561636)]	1	9
A004	-4.437500	35.750000	[(-4.808333333333334, 35.47957373333333), (-4.116666666666667, 35.47957373333333), (-4.116666666666667, 36.003531106666664), (-4.808333333333334, 36.003531106666664), (-4.808333333333334, 35.47957373333333)]	1	10
A005	-4.430959	36.276163	[(-4.808333333333334, 36.003531106666664), (-4.116666666666667, 36.003531106666664), (-4.116666666666667, 36.52748848), (-4.808333333333334, 36.52748848), (-4.808333333333334, 36.003531106666664)]	1	11
A006	-4.299342	36.615132	[(-4.808333333333334, 36.52748848), (-4.116666666666667, 36.52748848), (-4.116666666666667, 37.051445853333334), (-4.808333333333334, 37.051445853333334), (-4.808333333333334, 36.52748848)]	1	12
A007	-3.729167	35.388889	[(-4.116666666666667, 34.95561636), (-3.425, 34.95561636), (-3.425, 35.47957373333333), (-4.116666666666667, 35.47957373333333), (-4.116666666666667, 34.95561636)]	2	9
A008	-3.750000	35.750000	[(-4.116666666666667, 35.47957373333333), (-3.425, 35.47957373333333), (-3.425, 36.003531106666664), (-4.116666666666667, 36.003531106666664), (-4.116666666666667, 35.47957373333333)]	2	10
A009	-3.750000	36.281250	[(-4.116666666666667, 36.003531106666664), (-3.425, 36.003531106666664), (-3.425, 36.52748848), (-4.116666666666667, 36.52748848), (-4.116666666666667, 36.003531106666664)]	2	11
A010	-3.750000	36.625000	[(-4.116666666666667, 36.52748848), (-3.425, 36.52748848), (-3.425, 37.051445853333334), (-4.116666666666667, 37.051445853333334), (-4.116666666666667, 36.52748848)]	2	12
A011	-3.055000	35.372500	[(-3.425, 34.95561636), (-2.7333333333333334, 34.95561636), (-2.7333333333333334, 35.47957373333333), (-3.425, 35.47957373333333), (-3.425, 34.95561636)]	3	9
A012	-3.064433	35.755155	[(-3.425, 35.47957373333333), (-2.7333333333333334, 35.47957373333333), (-2.7333333333333334, 36.003531106666664), (-3.425, 36.003531106666664), (-3.425, 35.47957373333333)]	3	10
A013	-3.062500	36.281250	[(-3.425, 36.003531106666664), (-2.7333333333333334, 36.003531106666664), (-2.7333333333333334, 36.52748848), (-3.425, 36.52748848), (-3.425, 36.003531106666664)]	3	11
A014	-3.080645	36.620968	[(-3.425, 36.52748848), (-2.7333333333333334, 36.52748848), (-2.7333333333333334, 37.051445853333334), (-3.425, 37.051445853333334), (-3.425, 36.52748848)]	3	12
A015	-2.375000	35.319712	[(-2.7333333333333334, 34.95561636), (-2.041666666666667, 34.95561636), (-2.041666666666667, 35.47957373333333), (-2.7333333333333334, 35.47957373333333), (-2.7333333333333334, 34.95561636)]	4	9
A016	-2.375000	35.750000	[(-2.7333333333333334, 35.47957373333333), (-2.041666666666667, 35.47957373333333), (-2.041666666666667, 36.003531106666664), (-2.7333333333333334, 36.003531106666664), (-2.7333333333333334, 35.47957373333333)]	4	10
A017	-2.375000	36.281250	[(-2.7333333333333334, 36.003531106666664), (-2.041666666666667, 36.003531106666664), (-2.041666666666667, 36.52748848), (-2.7333333333333334, 36.52748848), (-2.7333333333333334, 36.003531106666664)]	4	11
A018	-2.367733	36.661337	[(-2.7333333333333334, 36.52748848), (-2.041666666666667, 36.52748848), (-2.041666666666667, 37.051445853333334), (-2.7333333333333334, 37.051445853333334), (-2.7333333333333334, 36.52748848)]	4	12
A019	-1.774306	35.345486	[(-2.041666666666667, 34.95561636), (-1.3499999999999996, 34.95561636), (-1.3499999999999996, 35.47957373333333), (-2.041666666666667, 35.47957373333333), (-2.041666666666667, 34.95561636)]	5	9
A020	-1.687500	35.750000	[(-2.041666666666667, 35.47957373333333), (-1.3499999999999996, 35.47957373333333), (-1.3499999999999996, 36.003531106666664), (-2.041666666666667, 36.003531106666664), (-2.041666666666667, 35.47957373333333)]	5	10
A021	-1.687500	36.281250	[(-2.041666666666667, 36.003531106666664), (-1.3499999999999996, 36.003531106666664), (-1.3499999999999996, 36.52748848), (-2.041666666666667, 36.52748848), (-2.041666666666667, 36.003531106666664)]	5	11
A022	-1.670181	36.771084	[(-2.041666666666667, 36.52748848), (-1.3499999999999996, 36.52748848), (-1.3499999999999996, 37.051445853333334), (-2.041666666666667, 37.051445853333334), (-2.041666666666667, 36.52748848)]	5	12
A023	-1.541159	37.213415	[(-2.041666666666667, 37.051445853333334), (-1.3499999999999996, 37.051445853333334), (-1.3499999999999996, 37.575403226666666), (-2.041666666666667, 37.575403226666666), (-2.041666666666667, 37.051445853333334)]	5	13
A024	-1.312500	35.437500	[(-1.3499999999999996, 34.95561636), (-0.6583333333333332, 34.95561636), (-0.6583333333333332, 35.47957373333333), (-1.3499999999999996, 35.47957373333333), (-1.3499999999999996, 34.95561636)]	6	9
A025	-1.064773	35.853409	[(-1.3499999999999996, 35.47957373333333), (-0.6583333333333332, 35.47957373333333), (-0.6583333333333332, 36.003531106666664), (-1.3499999999999996, 36.003531106666664), (-1.3499999999999996, 35.47957373333333)]	6	10
A026	-1.000000	36.281250	[(-1.3499999999999996, 36.003531106666664), (-0.6583333333333332, 36.003531106666664), (-0.6583333333333332, 36.52748848), (-1.3499999999999996, 36.52748848), (-1.3499999999999996, 36.003531106666664)]	6	11
A027	-1.000000	36.781250	[(-1.3499999999999996, 36.52748848), (-0.6583333333333332, 36.52748848), (-0.6583333333333332, 37.051445853333334), (-1.3499999999999996, 37.051445853333334), (-1.3499999999999996, 36.52748848)]	6	12
A028	-0.991758	37.290522	[(-1.3499999999999996, 37.051445853333334), (-0.6583333333333332, 37.051445853333334), (-0.6583333333333332, 37.575403226666666), (-1.3499999999999996, 37.575403226666666), (-1.3499999999999996, 37.051445853333334)]	6	13
A029	-0.687500	37.781250	[(-1.3499999999999996, 37.575403226666666), (-0.6583333333333332, 37.575403226666666), (-0.6583333333333332, 38.0993606), (-1.3499999999999996, 38.0993606), (-1.3499999999999996, 37.575403226666666)]	6	14
A030	-0.343750	35.957386	[(-0.6583333333333332, 35.47957373333333), (0.033333333333333215, 35.47957373333333), (0.033333333333333215, 36.003531106666664), (-0.6583333333333332, 36.003531106666664), (-0.6583333333333332, 35.47957373333333)]	7	10
A031	-0.312500	36.281250	[(-0.6583333333333332, 36.003531106666664), (0.033333333333333215, 36.003531106666664), (0.033333333333333215, 36.52748848), (-0.6583333333333332, 36.52748848), (-0.6583333333333332, 36.003531106666664)]	7	11
A032	-0.312500	36.781250	[(-0.6583333333333332, 36.52748848), (0.033333333333333215, 36.52748848), (0.033333333333333215, 37.051445853333334), (-0.6583333333333332, 37.051445853333334), (-0.6583333333333332, 36.52748848)]	7	12
A033	-0.312500	37.312500	[(-0.6583333333333332, 37.051445853333334), (0.033333333333333215, 37.051445853333334), (0.033333333333333215, 37.575403226666666), (-0.6583333333333332, 37.575403226666666), (-0.6583333333333332, 37.051445853333334)]	7	13
A034	-0.312500	37.843750	[(-0.6583333333333332, 37.575403226666666), (0.033333333333333215, 37.575403226666666), (0.033333333333333215, 38.0993606), (-0.6583333333333332, 38.0993606), (-0.6583333333333332, 37.575403226666666)]	7	14
A035	-0.220982	38.289062	[(-0.6583333333333332, 38.0993606), (0.033333333333333215, 38.0993606), (0.033333333333333215, 38.62331797333333), (-0.6583333333333332, 38.62331797333333), (-0.6583333333333332, 38.0993606)]	7	15
