1 52, 26, 51, 26
2 52, 26, 49, 24
3 51, 26, 50, 23
4 51, 26, 51, 22
5 50, 23, 52, 24
6 51, 26, 50, 22
7 50, 26, 48, 25
8 46, 26, 50, 25
9 50, 25, 44, 26
10 44, 24, 52, 25
11 51, 24, 47, 22
12 44, 24, 50, 26
13 47, 25, 50, 22
14 45, 26, 48, 23
15 48, 25, 44, 23
16 46, 26, 44, 23
17 52, 25, 43, 19
18 48, 25, 45, 20
19 44, 25, 43, 24
20 50, 24, 38, 22
21 49, 24, 39, 22
22 50, 22, 42, 18
23 51, 23, 35, 22
24 42, 21, 50, 17
25 51, 22, 34, 22
26 43, 18, 50, 18
27 52, 18, 37, 20
28 41, 23, 42, 19
29 44, 21, 33, 23
30 51, 18, 36, 16
31 49, 19, 33, 19
32 50, 23, 28, 18
33 34, 22, 42, 20
34 49, 19, 33, 17
35 49, 22, 29, 16
36 47, 17, 33, 18
37 48, 23, 27, 17
38 41, 16, 39, 19
39 48, 20, 26, 19
40 38, 19, 38, 18
41 35, 22, 37, 17
42 49, 16, 29, 16
43 37, 21, 33, 19
44 30, 22, 42, 16
45 48, 19, 23, 19
46 46, 15, 29, 19
47 35, 25, 31, 17
48 42, 17, 27, 20
49 39, 24, 26, 17
50 39, 17, 27, 23
51 51, 14, 27, 13
52 45, 15, 25, 20
53 42, 19, 26, 18
54 35, 17, 30, 22
55 37, 20, 32, 14
56 22, 14, 46, 21
57 22, 16, 43, 20
58 25, 24, 34, 17
59 28, 17, 38, 17
60 40, 15, 25, 20
61 24, 19, 37, 19
62 26, 19, 37, 16
63 48, 21, 21, 6
64 41, 20, 25, 10
65 45, 23, 16, 11
66 27, 19, 30, 19
67 31, 17, 30, 16
68 26, 18, 28, 22
69 39, 24, 22, 8
70 17, 18, 39, 19
71 32, 17, 23, 20
72 31, 20, 23, 18
73 44, 16, 19, 12
74 31, 12, 25, 23
75 37, 18, 21, 12
76 18, 20, 31, 19
77 33, 15, 26, 13
78 32, 22, 22, 11
79 17, 24, 37, 9
80 26, 23, 27, 10
81 33, 16, 20, 16
82 11, 17, 37, 20
83 7, 19, 35, 24
84 27, 17, 29, 11
85 35, 5, 24, 20
86 29, 16, 20, 18
87 34, 8, 24, 16
88 12, 17, 35, 17
89 20, 14, 30, 17
90 48, 18, 10, 4
91 30, 13, 22, 15
92 37, 9, 14, 18
93 26, 11, 27, 12
94 30, 9, 21, 16
95 10, 11, 36, 19
96 20, 11, 34, 10
97 30, 11, 18, 16
98 34, 9, 15, 17
99 31, 13, 15, 15
100 19, 15, 32, 7
101 22, 14, 24, 13
102 32, 11, 15, 12
103 24, 12, 22, 11
104 18, 8, 31, 12
105 16, 12, 32, 8
106 3, 18, 38, 9
107 20, 7, 21, 17
108 19, 10, 24, 12
109 16, 11, 32, 6
110 17, 17, 20, 10
111 24, 18, 16, 6
112 20, 17, 24, 3
113 16, 12, 24, 11
114 16, 8, 24, 14
115 30, 7, 15, 10
116 15, 12, 25, 10
117 13, 11, 26, 11
118 34, 8, 7, 12
119 2, 12, 31, 15
120 23, 5, 24, 8
121 17, 15, 20, 8
122 24, 9, 16, 11
123 18, 12, 26, 4
124 14, 7, 26, 12
125 26, 10, 14, 9
126 18, 7, 19, 14
127 16, 10, 26, 6
128 21, 18, 18, 1
129 18, 16, 14, 10
130 4, 16, 28, 10
131 13, 10, 17, 17
132 16, 9, 17, 14
133 20, 13, 12, 11
134 10, 16, 27, 3
135 19, 14, 20, 2
136 23, 16, 16, 0
137 15, 15, 20, 5
138 5, 14, 25, 11
139 18, 11, 14, 11
140 14, 11, 22, 7
141 20, 7, 17, 10
142 12, 10, 20, 11
143 17, 15, 13, 8
144 7, 13, 25, 8
145 21, 7, 15, 9
